Time Window,Date,Underlying,TEF.MC,REP.MC,BBVA.MC
250,2000-03-22,TEF.MC,1.0,,
250,2000-03-22,REP.MC,,1.0,
250,2000-03-22,BBVA.MC,,,1.0
250,2000-03-23,TEF.MC,1.0,,
250,2000-03-23,REP.MC,,1.0,
250,2000-03-23,BBVA.MC,,,1.0
250,2000-03-24,TEF.MC,1.0,,
250,2000-03-24,REP.MC,,1.0,
250,2000-03-24,BBVA.MC,,,1.0
250,2000-03-27,TEF.MC,1.0,,
250,2000-03-27,REP.MC,,1.0,
250,2000-03-27,BBVA.MC,,,1.0
250,2000-03-28,TEF.MC,1.0,,
250,2000-03-28,REP.MC,,1.0,
250,2000-03-28,BBVA.MC,,,1.0
250,2000-03-29,TEF.MC,1.0,,
250,2000-03-29,REP.MC,,1.0,
250,2000-03-29,BBVA.MC,,,1.0
250,2000-03-30,TEF.MC,1.0,,
250,2000-03-30,REP.MC,,1.0,
250,2000-03-30,BBVA.MC,,,1.0
250,2000-03-31,TEF.MC,1.0,,
250,2000-03-31,REP.MC,,1.0,
250,2000-03-31,BBVA.MC,,,1.0
250,2000-04-03,TEF.MC,1.0,,
250,2000-04-03,REP.MC,,1.0,
250,2000-04-03,BBVA.MC,,,1.0
250,2000-04-04,TEF.MC,1.0,,
250,2000-04-04,REP.MC,,1.0,
250,2000-04-04,BBVA.MC,,,1.0
250,2000-04-05,TEF.MC,1.0,,
250,2000-04-05,REP.MC,,1.0,
250,2000-04-05,BBVA.MC,,,1.0
250,2000-04-06,TEF.MC,1.0,,
250,2000-04-06,REP.MC,,1.0,
250,2000-04-06,BBVA.MC,,,1.0
250,2000-04-07,TEF.MC,1.0,,
250,2000-04-07,REP.MC,,1.0,
250,2000-04-07,BBVA.MC,,,1.0
250,2000-04-10,TEF.MC,1.0,,
250,2000-04-10,REP.MC,,1.0,
250,2000-04-10,BBVA.MC,,,1.0
250,2000-04-11,TEF.MC,1.0,,
250,2000-04-11,REP.MC,,1.0,
250,2000-04-11,BBVA.MC,,,1.0
250,2000-04-12,TEF.MC,1.0,,
250,2000-04-12,REP.MC,,1.0,
250,2000-04-12,BBVA.MC,,,1.0
250,2000-04-13,TEF.MC,1.0,,
250,2000-04-13,REP.MC,,1.0,
250,2000-04-13,BBVA.MC,,,1.0
250,2000-04-14,TEF.MC,1.0,,
250,2000-04-14,REP.MC,,1.0,
250,2000-04-14,BBVA.MC,,,1.0
250,2000-04-17,TEF.MC,1.0,,
250,2000-04-17,REP.MC,,1.0,
250,2000-04-17,BBVA.MC,,,1.0
250,2000-04-18,TEF.MC,1.0,,
250,2000-04-18,REP.MC,,1.0,
250,2000-04-18,BBVA.MC,,,1.0
250,2000-04-19,TEF.MC,1.0,,
250,2000-04-19,REP.MC,,1.0,
250,2000-04-19,BBVA.MC,,,1.0
