Time Window,Date,Avg Correl
10,2015-11-11,0.10523259503967956
10,2015-11-12,0.30068395680019727
10,2015-11-13,0.3206371293105306
10,2015-11-16,0.30251655262862964
10,2015-11-17,0.5111934744578748
10,2015-11-18,0.4809392084876339
10,2015-11-19,0.5298535703003491
10,2015-11-20,0.6427867535605145
10,2015-11-23,0.614571692108711
10,2015-11-24,0.5822109843096631
10,2015-11-25,0.5409319819468581
10,2015-11-26,0.4721681584653497
10,2015-11-27,0.4536116767989643
10,2015-11-30,0.4483030018633457
10,2015-12-01,0.20069843336117527
10,2015-12-02,0.16915677941297627
10,2015-12-03,0.46866631063732905
10,2015-12-04,0.4408622203564863
10,2015-12-07,0.4114353914636039
10,2015-12-08,0.5421892396637557
10,2015-12-09,0.5493539011010525
10,2015-12-10,0.4698794365614615
